,0
1057,Hallelujah the Hills
1058,The Hours of Love
1059,The Householder
1060,How to Be Loved
1061,L'Immortelle
1062,The Indian Scarf
1063,The Insect Woman
1064,It's All Happening
1065,Judex
1066,Kanto Wanderer
1067,The Kiss of the Vampire
1068,Ladies Who Do
1069,Like Two Drops of Water
1070,The Love Eterne
1071,Edwin Zbonek
1072,A Matter of Choice
1073,The Mind Benders
1074,Monstrosity
1075,Mother of the Bride
1076,The Mouse on the Moon
1077,Murder at the Gallop
1078,Muriel
1079,Naked Among Wolves
1080,Nartanasala
1081,Nunca pasa nada
1082,Nurse on Wheels
1083,"Nutty, Naughty Chateau"
1084,Ophélia
1085,I mostri
1086,The Organizer
1087,The Paper Man
1088,Paranoiac
1089,Passenger
1090,Pour la suite du monde
1091,The Punch and Judy Man
1092,Rampage
1093,Raven's End
1094,The Red Lanterns
1095,The Running Man
1096,Saladin the Victorious
1097,Sammy Going South
1098,Old Yeller
1099,The Scarlet Blade
1100,The Servant
1101,Showdown
1102,The Silence
1103,The Small World of Sammy Lee
1104,Soft Hands
1105,Sparrows Can't Sing
1106,The Squeaker
1107,Stolen Hours
1108,Summer Holiday
1109,Suzanne's Career
1110,Sweet and Sour
1111,Taj Mahal
1112,À tout prendre
1113,Los Tarantos
1114,That Kind of Girl
1115,This Sporting Life
1116,To Die in Madrid
1117,Torpedo Bay
1118,Uncle Vanya
1119,Vice and Virtue
1120,La visita
1121,Voyage to the End of the Universe
1122,Walking the Streets of Moscow
1123,What a Crazy World
1124,The Whip and the Body
1125,Winter Light
1126,Wives and Lovers
1127,Women of the World
1128,The Wrong Arm of the Law
1129,"Yesterday, Today and Tomorrow"
1130,Young Aphrodites
1131,Zatoichi on the Road
1132,Zatoichi the Fugitive
1133,This Gun for Hire
1134,Waikiki Wedding
1135,Hondo
1136,The Big Clock
1137,Diamond Horseshoe
1138,The Heat's On
1139,Vendetta
1140,My Cousin Rachel
1141,Key Largo
1142,White Shadows in the South Seas
1143,The Young Rajah
1144,The Midnight Message
1145,Saps at Sea
1146,Mr. Blandings Builds His Dream House
1147,Isle of the Dead
1148,The Man Who Came to Dinner
1149,On Trial
1150,Napoléon
1151,Mexicali Rose
1152,The Corpse Vanishes
1153,The Second Man
1154,Greed
1155,Life with Father
1156,The Fugitive
1157,Fort Apache
1158,The Three Musketeers
1159,Captain from Castile
1160,Three Hollywood Girls
1161,Our Daily Bread
1162,Ghost Valley
1163,Sweet Smell of Success
1164,None but the Lonely Heart
1165,Broken Blossoms
1166,Only Angels Have Wings
1167,Girls in Prison
1168,Peg o' My Heart
1169,The Cowboy and the Lady
1170,What Every Woman Wants
1171,The Hope Diamond Mystery
1172,Orpheus
1173,China Passage
1174,Meet Boston Blackie
1175,Paths of Glory
1176,Sherlock Holmes and the Voice of Terror
1177,The Great Dictator
1178,Reunion in Reno
1179,Champagne for Caesar
1180,Rhapsody in Blue
1181,Stage Door Canteen
1182,The Woman Accused
1183,Down to Their Last Yacht
1184,The Leopard Man
1185,The Seventh Victim
1186,12 Angry Men
1187,Red River
1188,The Gang's All Here
1189,Take It or Leave It
1190,The Gang Show
1191,All In
1192,The Naked Truth
1193,Kind Hearts and Coronets
1194,Dead of Night
1195,Calamity Jane
1196,Tokyo Story
1197,Late Spring
1198,Three Smart Girls
1199,The Shadow Returns
1200,The Critic
1201,Fietsen naar de Maan
1202,Variety (magazine)
1203,Encyclopædia Britannica
1204,Mary Poppins
1205,My Fair Lady
1206,Goldfinger
1207,The Carpetbaggers
1208,A Shot in the Dark
1209,The Unsinkable Molly Brown
1210,A Hard Day's Night
1211,Kissin' Cousins
1212,Photoplay
1213,Topkapi
1214,Zorba the Greek
1215,Becket
1216,The Pumpkin Eater
1217,Seven Days in May
1218,"Hush...Hush, Sweet Charlotte"
1219,Pyro... The Thing Without a Face
1220,Zulu
1221,A Global Affair
1222,Surf Party
1223,Man in the Middle
1224,Dead Ringer
1225,Crack in the World
1226,He Rides Tall
1227,The Last Man on Earth
1228,Mail Order Bride
1229,A Tiger Walks
1230,7 Faces of Dr. Lao
1231,The Flesh Eaters
1232,Law of the Lawless
1233,The World of Henry Orient
1234,Flight from Ashiya
1235,The Misadventures of Merlin Jones
1236,Muscle Beach Party
1237,The Fall of the Roman Empire
1238,The Incredible Mr. Limpet
1239,The Curse of the Living Corpse
1240,Gunfighters of Casa Grande
1241,Dark Purpose
1242,The Best Man
1243,Paris When It Sizzles
1244,The Strangler
1245,The Quick Gun
1246,The Chalk Garden
1247,French Dressing
1248,The Third Secret
1249,Woman of Straw
